java_class_path,release,LOC,LOC_Touched,NR,Nfix,Nauth,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,Max_Churn,Avg_Churn,Change_Set_Size,Max_Change_Set,Avg_Change_Set,Age,Weighted_Age,EXP,SEXP,Previous_Release_Code_Smells,isBuggy
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ByteArrayValueHandler.java,0.9.6,52,82,3,0,2,72,59,24.00,82,59,27.33,2767,1263,922.33,133,10906,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayStreamValueHandler.java,0.9.6,71,103,3,0,2,93,80,31.00,103,80,34.33,2767,1263,922.33,133,13699,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayValueHandler.java,0.9.6,55,86,3,0,2,76,63,25.33,86,63,28.67,2767,1263,922.33,133,11438,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClassNameDiscriminatorStrategy.java,0.9.6,110,151,5,0,3,139,123,27.80,151,123,30.20,2900,1263,580.00,133,20083,36,14,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClobValueHandler.java,0.9.6,43,71,3,0,2,61,48,20.33,71,48,23.67,2767,1263,922.33,133,9443,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ColumnVersionStrategy.java,0.9.6,225,287,4,0,2,276,262,69.00,287,262,71.75,2773,1263,693.25,133,38171,35,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ContainerFieldStrategy.java,0.9.6,112,157,5,0,3,145,124,29.00,157,124,31.40,2778,1263,555.60,133,20881,25,7,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,0.9.6,1292,1642,10,0,5,1610,1573,161.00,1642,1573,164.20,3218,1263,321.80,133,218386,23,9,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedValueHandler.java,0.9.6,156,202,5,0,3,187,169,37.40,202,169,40.40,3127,1263,625.40,133,26866,29,8,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbeddedClassStrategy.java,0.9.6,83,115,3,0,2,105,92,35.00,115,92,38.33,2767,1263,922.33,133,15295,39,10,0,false
