rank,class_path,nsmells,loc,selected
60,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,254,999,false
61,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifier.java,252,941,false
62,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java,243,799,false
63,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java,238,1126,false
64,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCStoreManager.java,238,600,false
65,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/SourceAnnotationHandler.java,237,768,false
66,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java,230,1040,false
67,openjpa-kernel/src/main/java/org/apache/openjpa/meta/JavaTypes.java,229,544,false
68,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaParser.java,221,627,false
69,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClassArgParser.java,217,641,false
70,openjpa-lib/src/main/java/org/apache/openjpa/lib/identifier/IdentifierUtilImpl.java,216,635,false
71,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaQueryImpl.java,207,798,false
72,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationRelationMapTableFieldStrategy.java,207,583,false
73,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Options.java,202,649,false
74,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java,202,435,false
75,openjpa-kernel/src/main/java/org/apache/openjpa/util/asm/AsmHelper.java,201,695,false
76,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/XMLFileHandler.java,199,661,false
77,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLBuffer.java,198,698,false
78,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGroup.java,197,603,false
79,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCConfigurationImpl.java,191,700,false
80,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/MappedQueryResultObjectProvider.java,190,542,false
81,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/FormatPreservingProperties.java,186,726,false
82,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl.java,185,624,false
83,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PrimaryRow.java,181,500,false
84,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerRelationMapTableFieldStrategy.java,174,497,false
85,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerFieldStrategy.java,169,466,false
86,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaExpressionBuilder.java,169,378,false
87,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java,168,640,false
88,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedQueryImpl.java,166,457,false
89,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMappingInfo.java,165,680,false
90,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryKey.java,165,482,false
91,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java,163,659,false
92,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorageGenerator.java,163,610,false
93,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifierUtilImpl.java,163,503,false
94,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/VersionAttachStrategy.java,163,430,false
95,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ValueMetaDataImpl.java,161,565,false
96,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SolidDBDictionary.java,159,543,false
97,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/XMLFormatter.java,159,535,false
98,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java,158,691,false
99,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager.java,156,889,false
100,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schemas.java,156,243,false
101,openjpa-examples/openbooks/src/main/java/openbook/server/OpenBookServiceImpl.java,155,439,false
102,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java,154,469,false
103,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/ResultSetResult.java,153,607,false
104,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,152,1076,false
105,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java,151,540,false
106,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingConnection.java,150,607,false
107,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedQueryCacheImpl.java,150,500,false
108,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLServerDictionary.java,150,470,false
109,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedPreparedStatement.java,150,397,false
110,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MariaDBDictionary.java,149,551,false
111,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConstraintUpdateManager.java,148,560,false
112,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingInfo.java,148,401,false
113,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/InverseManager.java,146,424,false
114,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSet.java,146,415,false
115,openjpa-kernel/src/main/java/org/apache/openjpa/event/TCPRemoteCommitProvider.java,143,957,false
116,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceUnitInfoImpl.java,141,617,false
117,openjpa-examples/openbooks/src/main/java/openbook/util/PropertyHelper.java,141,306,false
118,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAPersistenceUtil.java,139,327,false
119,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMappingInfo.java,138,469,false
120,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PagingResultObjectProvider.java,138,467,false
121,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/RedefinitionHelper.java,137,238,false
122,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/MetamodelImpl.java,136,458,false
123,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ProductDerivations.java,132,510,false
124,openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java,131,780,false
125,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionaryFactory.java,131,674,false
126,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java,131,427,false
127,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AttachManager.java,130,369,false
128,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/PrimitiveFieldStrategy.java,129,439,false
129,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingQuery.java,126,742,false
130,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java,126,487,false
131,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LRSProxyMap.java,126,441,false
132,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ProxySetupStateManager.java,126,348,false
133,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedStoreQuery.java,125,292,false
134,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,124,1393,false
135,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/QueryDefinitionImpl.java,124,487,false
136,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerCollectionTableFieldStrategy.java,124,331,false
137,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerStrategies.java,124,279,false
138,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/ObjectData.java,123,390,false
139,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/JPAFacadeHelper.java,123,346,false
140,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingDatabaseMetaData.java,122,1015,false
141,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/JDBCEventConnectionDecorator.java,122,519,false
142,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingDataCache.java,122,425,false
143,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PCDataImpl.java,122,362,false
144,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Files.java,122,327,false
145,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedSQLStoreQuery.java,121,291,false
146,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ResultPacker.java,120,395,false
147,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java,120,278,false
148,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Discriminator.java,119,458,false
149,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java,119,416,false
150,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/CodeFormat.java,118,602,false
